OBJECTID,ResourceAgencyNum,PublicName,AlternateName,HdNumNew,HDNAMENEW,Category,MERGE_SRC,HoodName,HoodID
1911,70487995,Metrolinx Hamilton Services - Metrolinx Hamilton Services,Presto Card; Triplinx; Union Pearson Express; UP Express,166,St Lawrence-East Bayfront-The Islands,General/Other,General/Other,Waterfront Communities-The Island,77
1912,70807564,Midland Child Care Centre - Midland Child Care Centre,,130,Milliken,General/Other,General/Other,Milliken,130
1913,73024757,Midland Gardens Care Community - Midland Gardens Care Community,,122,Birchcliffe-Cliffside,General/Other,General/Other,Birchcliffe-Cliffside,122
1914,70808541,Mighty Kids - Mighty Kids,,70,South Riverdale,General/Other,General/Other,South Riverdale,70
1915,69798668,Miles Nadal JCC - Miles Nadal JCC,Al Green Theatre; DTD; JCC; Jewish Community Centre; Miles Nadal Jewish Community Centre; YMHA; Young Men's Hebrew Association,79,University,General/Other,General/Other,University,79
1916,71267491,"Miles Nadal JCC, Early Childhood Education Department - Miles Nadal JCC, Nursery School",,79,University,General/Other,General/Other,University,79
1917,70810360,Millvalley Child Care Centre - Millvalley Child Care Centre,,11,Eringate-Centennial-West Deane,General/Other,General/Other,Eringate-Centennial-West Deane,11
1918,70808142,Mindwerx 4 Kids Learning Centre - Mindwerx 4 Kids Learning Centre,,158,Islington,General/Other,General/Other,Islington-City Centre West,14
1919,69801002,Mixed Company Theatre - Mixed Company Theatre,Maple Leaf Theatre for Social Change,73,Moss Park,General/Other,General/Other,Moss Park,73
1920,71086972,Moeen Centre For Physically Disabled and Developmentally Challenged Young Adults - Moeen Centre For Physically Disabled and Developmentally Challenged Young Adults,Moeen Centre,124,Kennedy Park,General/Other,General/Other,Kennedy Park,124
1921,70917146,Momentum Montessori Regent Park - Momentum Montessori Regent Park,,72,Regent Park,General/Other,General/Other,Regent Park,72
1922,73440680,Momiji Health Care Society - Client Intervention,,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
1923,73440682,Momiji Health Care Society - Dining Programs,,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
1924,73440686,Momiji Health Care Society - Friendly Visiting,,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
1925,73440696,Momiji Health Care Society - Momiji Health Care Society,,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
1926,73440678,Momiji Health Care Society - Physiotheraphy,,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
1927,73440684,Momiji Health Care Society - Seniors' Active Living Centre (SALC),,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
1928,73440688,Momiji Health Care Society - Spiritual Care,,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
1929,73440694,Momiji Health Care Society - Supportive Housing,,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
1930,73440690,Momiji Health Care Society - Transportation Program,,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
1931,73440692,Momiji Health Care Society - Volunteering,,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
1932,70809012,Mon Petit Univers - Mon Petit Univers,,122,Birchcliffe-Cliffside,General/Other,General/Other,Birchcliffe-Cliffside,122
1933,73024761,Mon Sheong Foundation - Long-Term Care Centre,,130,Milliken,General/Other,General/Other,Milliken,130
1934,73451138,Mon Sheong Foundation - Mon Sheong Home for the Aged,,78,Kensington-Chinatown,General/Other,General/Other,Kensington-Chinatown,78
1935,70808902,Monarch Manor - Monarch Manor,,99,Mount Pleasant East,General/Other,General/Other,Mount Pleasant East,99
1936,73451072,Monarch Park Clinic - Monarch Park Clinic,CV19,65,Greenwood-Coxwell,General/Other,General/Other,Greenwood-Coxwell,65
1937,70808404,Monarch Park Montessori - Monarch Park Montessori,,66,Danforth,General/Other,General/Other,Danforth,66
1938,71173922,Montage Support Services - Montage Support Services,,107,Oakwood Village,General/Other,General/Other,Oakwood Village,107
1939,70808570,"Montessori Education Centre - Montessori Education Centre, Thorncliffe Park United Church",,55,Thorncliffe Park,General/Other,General/Other,Thorncliffe Park,55
1940,70811005,Montessori For Children - St Clair - Montessori For Children - St Clair,,98,Rosedale-Moore Park,General/Other,General/Other,Rosedale-Moore Park,98
1941,70811192,Montessori Jewish Day School Of Toronto - Montessori Jewish Day School Of Toronto,,33,Clanton Park,General/Other,General/Other,Clanton Park,33
1942,70808392,Montessori Start - Montessori Start,,31,Yorkdale-Glen Park,General/Other,General/Other,Yorkdale-Glen Park,31
1943,70917112,Montessori Villa Wisdom - Montessori Villa Wisdom,,128,Agincourt South,General/Other,General/Other,Agincourt South-Malvern West,128
1944,70808702,Montessori Village Day Nursery - Montessori Village Day Nursery,,133,Centennial Scarborough,General/Other,General/Other,Centennial Scarborough,133
1945,70809580,Montrose Child Care Centre - Montrose Child Care Centre,,80,Palmerston-Little Italy,General/Other,General/Other,Palmerston-Little Italy,80
1946,69827556,"Mood Disorders Association of Ontario, Hamilton Services - Mood Disorders Association of Ontario, Hamilton Services",CV19; Mood Disorders Association of Ontario & Toronto,100,Yonge-Eglinton,General/Other,General/Other,Yonge-Eglinton,100
1947,72403898,Morgentaler Clinic (The) - Morgentaler Clinic (The),,99,Mount Pleasant East,General/Other,General/Other,Mount Pleasant East,99
1948,70809196,Mother Of Compassion Child Care - Mother Of Compassion Child Care,,146,Malvern East,General/Other,General/Other,Malvern,132
1949,70809185,Mothercraft [Child care] - Brookfield Place Child Care Centre,,170,Yonge-Bay Corridor,General/Other,General/Other,Bay Street Corridor,76
1950,70809182,Mothercraft [Child care] - Robertson House Child Care,,97,Yonge-St.Clair,General/Other,General/Other,Yonge-St.Clair,97
1951,70809188,"Mothercraft [Child care] - Toronto Eaton Centre, Centre for Early Development",,170,Yonge-Bay Corridor,General/Other,General/Other,Bay Street Corridor,76
1952,70809895,Mount Dennis Early Learning and Child Care Centre - Mount Dennis Early Learning and Child Care Centre,,115,Mount Dennis,General/Other,General/Other,Mount Dennis,115
1953,71454753,Multiple Sclerosis Society of Canada - Multiple Sclerosis Society of Canada,MS Society; Société canadienne de la sclérose en plaques; Société SP,78,Kensington-Chinatown,General/Other,General/Other,Kensington-Chinatown,78
1954,73451455,Multiple Sclerosis Society of Canada - Toronto Chapter,MS Society; Multiple Sclerosis Society of Canada,78,Kensington-Chinatown,General/Other,General/Other,Kensington-Chinatown,78
1955,70808247,Munchkinz Preschool - Munchkinz Preschool,,16,Stonegate-Queensway,General/Other,General/Other,Stonegate-Queensway,16
1956,71454757,Muscular Dystrophy Canada - Ontario Regional Office - Muscular Dystrophy Canada - Ontario Regional Office,MDC orthopedic,173,North Toronto,General/Other,General/Other,Mount Pleasant West,104
1957,70808926,My First Preschool - Kenton Tiny Tots - My First Preschool - Kenton Tiny Tots,,37,Willowdale West,General/Other,General/Other,Willowdale West,37
1958,70811013,My School Co-Op Nursery School - My School Co-Op Nursery School,,86,Roncesvalles,General/Other,General/Other,Roncesvalles,86
1959,71084048,Myalgic Encephalomyelitis Association of Ontario - Myalgic Encephalomyelitis Association of Ontario,CFS; FM; MCS; ME/CFS; MEAO,42,Banbury-Don Mills,General/Other,General/Other,Banbury-Don Mills,42
1960,73107552,Narcotics Anonymous Toronto Area - Narcotics Anonymous Toronto Area,NA,146,Malvern East,General/Other,General/Other,Malvern,132
1961,69796017,National Council of Jewish Women of Canada - National Council of Jewish Women of Canada,NCJW; NCJWC ; HT2,34,Bathurst Manor,General/Other,General/Other,Bathurst Manor,34
1962,71083954,National Eating Disorder Information Centre - National Eating Disorder Information Centre,NEDIC,170,Yonge-Bay Corridor,General/Other,General/Other,Bay Street Corridor,76
1963,69796347,National NewsMedia Council - National NewsMedia Council,National News Media Council; NNC,166,St Lawrence-East Bayfront-The Islands,General/Other,General/Other,Waterfront Communities-The Island,77
1964,70917730,Native Child and Family Services of Toronto [Child care] - Dundas Kindergarten Enrichment Program,CV19; Gizhaadaawgamik,70,South Riverdale,General/Other,General/Other,South Riverdale,70
1965,70917727,Native Child and Family Services of Toronto [Child care] - Epnigishmok Aboriginal Head Start,CV19,107,Oakwood Village,General/Other,General/Other,Oakwood Village,107
1966,70917721,Native Child and Family Services of Toronto [Child care] - Kiiwednong Aboriginal Head Start,CV19,155,Downsview,General/Other,General/Other,Downsview-Roding-CFB,26
1967,70917724,Native Child and Family Services of Toronto [Child care] - Scarborough Child and Family Life Centre,CV19,136,West Hill,General/Other,General/Other,West Hill,136
1968,70917732,Native Child and Family Services of Toronto [Child care] - Shaawnong Aboriginal Head Start,CV19,70,South Riverdale,General/Other,General/Other,South Riverdale,70
1969,71085950,Natural Family Planning Association - Natural Family Planning Association,,103,Lawrence Park South,General/Other,General/Other,Lawrence Park South,103
1970,69796054,Neighbourhood Information Post - Neighbourhood Information Post,CV19; LEAP; Low Income Energy Assistance Program; NIP; OESP; Ontario Electricity Support Program; TDIN; Toronto Rent Bank; Winter Warmth Fund,73,Moss Park,General/Other,General/Other,Moss Park,73
1971,69797939,"Neighbourhood Link Support Services - Neighbourhood Link Support Services, Head Office",Akwasti Project; CV19; Neighbourhood Group; PAID; Partners for Access and Identification,61,Taylor-Massey,General/Other,General/Other,Taylor-Massey,61
1972,72901704,NeighbourLink North York - NeighbourLink North York,,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
1973,70808733,Netivot Hatorah - South Campus - Netivot Hatorah - South Campus,,39,Bedford Park-Nortown,General/Other,General/Other,Bedford Park-Nortown,39
1974,70917587,"Network Child Care Services - Network Child Care Services, Bendale Acres Child Care Centre",,156,Bendale-Glen Andrew,General/Other,General/Other,Bendale,127
1975,70917563,"Network Child Care Services - Network Child Care Services, Child's Nest Early Years And Child Care Centre",,59,Danforth-East York,General/Other,General/Other,Danforth East York,59
1976,70917581,"Network Child Care Services - Network Child Care Services, Dane Avenue Child Care Centre",,31,Yorkdale-Glen Park,General/Other,General/Other,Yorkdale-Glen Park,31
1977,70917572,"Network Child Care Services - Network Child Care Services, Holy Cross",,59,Danforth-East York,General/Other,General/Other,Danforth East York,59
1978,70917578,"Network Child Care Services - Network Child Care Services, Jubilee",,115,Mount Dennis,General/Other,General/Other,Mount Dennis,115
1979,70917569,"Network Child Care Services - Network Child Care Services, Just Kids Child Care Centre",,110,Keelesdale-Eglinton West,General/Other,General/Other,Keelesdale-Eglinton West,110
1980,70917557,"Network Child Care Services - Network Child Care Services, Metamorphosis Child Care Centre",,66,Danforth,General/Other,General/Other,Danforth,66
1981,70917593,"Network Child Care Services - Network Child Care Services, Network Group Satellite",,80,Palmerston-Little Italy,General/Other,General/Other,Palmerston-Little Italy,80
1982,70917590,"Network Child Care Services - Network Child Care Services, Ossington",,172,Dovercourt Village,General/Other,General/Other,Dovercourt-Wallace Emerson-Junction,93
1983,70917560,"Network Child Care Services - Network Child Care Services, Saint Nicholas Child Care Centre",,116,Steeles,General/Other,General/Other,Steeles,116
1984,70917584,"Network Child Care Services - Network Child Care Services, St Agatha",,123,Cliffcrest,General/Other,General/Other,Cliffcrest,123
1985,70917566,"Network Child Care Services - Network Child Care Services, St Aidan Early Learning Centre",,148,East L'Amoreaux,General/Other,General/Other,L'Amoreaux,117
1986,70917575,"Network Child Care Services - Network Child Care Services, St Maria Goretti",,124,Kennedy Park,General/Other,General/Other,Kennedy Park,124
1987,70917596,"Network Child Care Services - Network Child Care Services, Wade Avenue",,171,Junction-Wallace Emerson,General/Other,General/Other,Dovercourt-Wallace Emerson-Junction,93
1988,69794237,New Circles Community Services - New Circles Community Services,Settlement Support Program,43,Victoria Village,General/Other,General/Other,Victoria Village,43
1989,71086808,New Horizons Tower - New Horizons Tower,,171,Junction-Wallace Emerson,General/Other,General/Other,Dovercourt-Wallace Emerson-Junction,93
1990,72404345,New Jane Medical Clinic - New Jane Medical Clinic,,115,Mount Dennis,General/Other,General/Other,Mount Dennis,115
1991,70810655,New Toronto Nursery Co-Operative - New Toronto Nursery Co-Operative,,18,New Toronto,General/Other,General/Other,New Toronto,18
1992,73451230,New Visions Toronto - New Visions Toronto,Toronto New Visions,166,St Lawrence-East Bayfront-The Islands,General/Other,General/Other,Waterfront Communities-The Island,77
1993,73451145,Nisbet Lodge - McClintock Manor,,67,Playter Estates-Danforth,General/Other,General/Other,Playter Estates-Danforth,67
1994,73451142,Nisbet Lodge - Nisbet Lodge,,67,Playter Estates-Danforth,General/Other,General/Other,Playter Estates-Danforth,67
1995,72399811,Noble Medical Clinic - Noble Medical Clinic,,138,Eglinton East,General/Other,General/Other,Eglinton East,138
1996,71084232,Non-Smokers' Rights Association - Non-Smokers' Rights Association,ADNF; NSRA,79,University,General/Other,General/Other,University,79
1997,73440952,Norfinch Care Community - Norfinch Care Community,,24,Black Creek,General/Other,General/Other,Black Creek,24
1998,72399991,North Park Medical Centre - Public Clinic,,30,Brookhaven-Amesbury,General/Other,General/Other,Brookhaven-Amesbury,30
1999,73440904,North Park Nursing Home - North Park Nursing Home,,29,Maple Leaf,General/Other,General/Other,Maple Leaf,29
2000,70811270,"North Toronto Early Years Learning Centre - North Toronto Early Years Learning Centre, Avenue Rd",,100,Yonge-Eglinton,General/Other,General/Other,Yonge-Eglinton,100
2001,70811273,"North Toronto Early Years Learning Centre - North Toronto Early Years Learning Centre, Bedford Park",,105,Lawrence Park North,General/Other,General/Other,Lawrence Park North,105
2002,70810942,"North Yonge Infant Nursery and Preschool Child Care - North Yonge Infant Nursery and Preschool Child Care, Infant Nursery",,105,Lawrence Park North,General/Other,General/Other,Lawrence Park North,105
2003,70810945,"North Yonge Infant Nursery and Preschool Child Care - North Yonge Infant Nursery and Preschool Child Care, Preschool",,105,Lawrence Park North,General/Other,General/Other,Lawrence Park North,105
2004,72400042,North York After Hours Clinic - North York After Hours Clinic,,52,Bayview Village,General/Other,General/Other,Bayview Village,52
2005,69796201,"North York Community House - North York Community House, Bathurst-Finch Community Hub",CV19; DTD; Immigration Settlement and Adaptation Program; ISAP,35,Westminster-Branson,General/Other,General/Other,Westminster-Branson,35
2006,69796198,"North York Community House - North York Community House, Central Program Office",Action for Neighbourhood Change Program; ANC; Childminding Monitoring Advisory and Support; CMAS; CV19; DTD; EarlyON Child and Family Centre; Language Instruction for Newcomers to Canada; Library Settlement Partnerships; LINC; LSP; Newcomer Settlement Program; NSP; OEYC; Ontario Early Years Centre; Settlement Workers in Schools; SWIS,31,Yorkdale-Glen Park,General/Other,General/Other,Yorkdale-Glen Park,31
2007,70810505,North York Little Prints Daycare - Blessed Trinity Before and After School,,49,Bayview Woods-Steeles,General/Other,General/Other,Bayview Woods-Steeles,49
2008,70810499,North York Little Prints Daycare - North York Little Prints Daycare,,40,St.Andrew-Windfields,General/Other,General/Other,St.Andrew-Windfields,40
2009,70810496,North York Little Prints Daycare - St Cyril's Before and After School Programme,,37,Willowdale West,General/Other,General/Other,Willowdale West,37
2010,70810502,North York Little Prints Daycare - St Gregory's Before and After School Club,,10,Princess-Rosethorn,General/Other,General/Other,Princess-Rosethorn,10
2011,72400046,North York Medical Center - North York Medical Center,,155,Downsview,General/Other,General/Other,Downsview-Roding-CFB,26
2012,72404410,North York Medical Health Centre and Walk-In Clinic - North York Medical Health Centre and Walk-In Clinic,,30,Brookhaven-Amesbury,General/Other,General/Other,Brookhaven-Amesbury,30
2013,69795623,North York Women's Centre - North York Women's Centre,Bathurst-Finch Community Hub; CV19; NYWC; TDIN; Women's Lounge,112,Beechborough-Greenbrook,General/Other,General/Other,Beechborough-Greenbrook,112
2014,72716026,North Yorkers for Disabled Persons - Communication Enrichment Class,,152,Dunforest-Hollywood,General/Other,General/Other,Willowdale East,51
2015,72716023,North Yorkers for Disabled Persons - North Yorkers for Disabled Persons,,152,Dunforest-Hollywood,General/Other,General/Other,Willowdale East,51
2016,70810480,Northlea Community Child Care - Northlea Community Child Care,,56,Leaside-Bennington,General/Other,General/Other,Leaside-Bennington,56
2017,70809915,Northminster Early Learning and Child Care Centre - Northminster Early Learning and Child Care Centre,,37,Willowdale West,General/Other,General/Other,Willowdale West,37
2018,72400050,Northtown Medical Clinic - Northtown Medical Clinic,,151,Empress,General/Other,General/Other,Willowdale East,51
2019,70809134,Northview Advent Child Care - Northview Advent Child Care,,35,Westminster-Branson,General/Other,General/Other,Westminster-Branson,35
2020,70810292,Northview Heights Early Learning Centre - Northview Heights Early Learning Centre,,35,Westminster-Branson,General/Other,General/Other,Westminster-Branson,35
2021,70811231,Northwest Childhood Learning Centre - Northwest Childhood Learning Centre,,21,Humber Summit,General/Other,General/Other,Humber Summit,21
2022,70917060,"Northwood Montessori - Northwood Montessori, St Agnes Campus",,50,Newtonbrook East,General/Other,General/Other,Newtonbrook East,50
2023,70917063,"Northwood Montessori - Northwood Montessori, Tri-Congregational Church",,48,Hillcrest Village,General/Other,General/Other,Hillcrest Village,48
2024,72429779,Northwood Neighbourhood Services - Dress for success,CBX2; Dress for Success,154,Oakdale-Beverley Heights,General/Other,General/Other,Downsview-Roding-CFB,26
2025,69796147,Northwood Neighbourhood Services - Northwood Neighbourhood Services,Immigrant Settlement and Adaptation Program; Immigration Settlement and Adaptation Program; ISAP; Newcomer Settlement Program; NSP; Una tarde juntos,154,Oakdale-Beverley Heights,General/Other,General/Other,Downsview-Roding-CFB,26
2026,73451149,Norwood Long Term Care Facility - Norwood Long Term Care Facility,,85,South Parkdale,General/Other,General/Other,South Parkdale,85
2027,70808008,N'Sheemaehn Child Care Center - N'Sheemaehn Child Care Center,,134,Highland Creek,General/Other,General/Other,Highland Creek,134
2028,71173451,Nucleus Independent Living - Nucleus 1 - Nucleus Independent Living - Nucleus 1,,115,Mount Dennis,General/Other,General/Other,Mount Dennis,115
2029,68971204,Nurse Practitioners' Association of Ontario - Nurse Practitioners' Association of Ontario,OCR,166,St Lawrence-East Bayfront-The Islands,General/Other,General/Other,Waterfront Communities-The Island,77
2030,68977355,Nutrition Screening - Nutrition Screening,Nutri-eScreen; Nutri-eStep; Nutrition Screening for Toddlers and Preschoolers; ,162,West Queen West,General/Other,General/Other,Niagara,82
2031,70808454,"NYAD - NYAD, Cedar Drive",Not Your Average Daycare,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
2032,70808466,"NYAD - NYAD, Corvette",Not Your Average Daycare,124,Kennedy Park,General/Other,General/Other,Kennedy Park,124
2033,70808460,"NYAD - NYAD, Donwood",Not Your Average Daycare,156,Bendale-Glen Andrew,General/Other,General/Other,Bendale,127
2034,70808451,"NYAD - NYAD, Guildwood",Not Your Average Daycare,140,Guildwood,General/Other,General/Other,Guildwood,140
2035,70808457,"NYAD - NYAD, Mason Road",Not Your Average Daycare,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
2036,70808469,"NYAD - NYAD, Midland",Not Your Average Daycare,124,Kennedy Park,General/Other,General/Other,Kennedy Park,124
2037,70808463,"NYAD - NYAD, Scarborough Village",Not Your Average Daycare,139,Scarborough Village,General/Other,General/Other,Scarborough Village,139
2038,73440851,Nymark Medical Centre - Nymark Medical Centre,,47,Don Valley Village,General/Other,General/Other,Don Valley Village,47
2039,71085778,Oakdale Child and Family Service - Oakdale Child and Family Service,Oakdale Children's Home,60,Woodbine-Lumsden,General/Other,General/Other,Woodbine-Lumsden,60
2040,70808582,Oakridge Junior Playcare - Oakridge Junior Playcare,,121,Oakridge,General/Other,General/Other,Oakridge,121
2041,70809592,Oakwood Children's House - Oakwood Children's House,,94,Wychwood,General/Other,General/Other,Wychwood,94
2042,70808890,Oakwood Village Montessori - Oakwood Village Montessori,,107,Oakwood Village,General/Other,General/Other,Oakwood Village,107
2043,69800210,Oasis Dufferin Community Centre - Oasis Dufferin Community Centre,CBX2; CV19,172,Dovercourt Village,General/Other,General/Other,Dovercourt-Wallace Emerson-Junction,93
2044,73025174,Occupational Health Clinic for Ontario Workers (OHCOW) - Occupational Health Clinic,,44,Flemingdon Park,General/Other,General/Other,Flemingdon Park,44
2045,73025099,Occupational Health Clinic for Ontario Workers (OHCOW) - Occupational Health Clinic for Ontario Workers (OHCOW),,42,Banbury-Don Mills,General/Other,General/Other,Banbury-Don Mills,42
2046,73025172,Occupational Health Clinic for Ontario Workers (OHCOW) - Workplace Assessment,OHCOW,44,Flemingdon Park,General/Other,General/Other,Flemingdon Park,44
2047,70809926,"O'Connor Early Learning and Child Care Centre - O'Connor Early Learning and Child Care Centre, O'Connor Community Centre",,43,Victoria Village,General/Other,General/Other,Victoria Village,43
2048,70809923,"O'Connor Early Learning and Child Care Centre - O'Connor Early Learning and Child Care Centre, O'Connor Public School (Satellite)",,43,Victoria Village,General/Other,General/Other,Victoria Village,43
2049,70807984,"Odyssey Montessori School - Odyssey Montessori School, Christie Campus",,172,Dovercourt Village,General/Other,General/Other,Dovercourt-Wallace Emerson-Junction,93
2050,70807981,"Odyssey Montessori School - Odyssey Montessori School, Sorauren Campus",,86,Roncesvalles,General/Other,General/Other,Roncesvalles,86
2051,65308929,Office of the Hydro One Ombudsman - Hydro One Services Complaints,,170,Yonge-Bay Corridor,General/Other,General/Other,Bay Street Corridor,76
2052,70809619,Ogden Day Care Centre - Ogden Day Care Centre,,78,Kensington-Chinatown,General/Other,General/Other,Kensington-Chinatown,78
2053,70916963,Ola Day Care - Ola Day Care,,87,High Park-Swansea,General/Other,General/Other,High Park-Swansea,87
2054,71086321,Old York Tower Not for Profit Seniors Housing - Old York Tower Not for Profit Seniors Housing,,166,St Lawrence-East Bayfront-The Islands,General/Other,General/Other,Waterfront Communities-The Island,77
2055,71078266,Olive Branch of Hope (The) - Breast Cancer Support,,155,Downsview,General/Other,General/Other,Downsview-Roding-CFB,26
2056,70808753,Olivet Church Of The New Jerusalem - Olivet Church Of The New Jerusalem,,158,Islington,General/Other,General/Other,Islington-City Centre West,14
2057,69794517,OmbudService for Life & Health Insurance - OmbudService for Life & Health Insurance,OLHI; OmbudService for Life and Health Insurance,170,Yonge-Bay Corridor,General/Other,General/Other,Bay Street Corridor,76
2058,69801745,Ombudsman for Banking Services and Investments - Ombudsman for Banking Services and Investments,OBSI,170,Yonge-Bay Corridor,General/Other,General/Other,Bay Street Corridor,76
2059,72399495,One Care Medical Clinic - One Care Medical Clinic,,156,Bendale-Glen Andrew,General/Other,General/Other,Bendale,127
2060,71709070,One Kenton Place - One Kenton Place,,36,Newtonbrook West,General/Other,General/Other,Newtonbrook West,36
2061,70811128,One Step At A Time Child Care - One Step At A Time Child Care,,88,High Park North,General/Other,General/Other,High Park North,88
2062,72399483,One Stop Medical Centre - One Stop Medical Centre,,141,Golfdale-Woburn,General/Other,General/Other,Woburn,137
2063,71086325,One to One Physiotherapy and Rehabilitation Clinic - One to One Physiotherapy and Rehabilitation Clinic,,96,Casa Loma,General/Other,General/Other,Casa Loma,96
2064,73451092,O'Neill Centre (The) - O'Neill Centre (The),ONeill Centre,95,Annex,General/Other,General/Other,Annex,95
2065,71899710,Ontario Aboriginal HIV / AIDS Strategy - Ontario Aboriginal HIV / AIDS Strategy,OAHAS,173,North Toronto,General/Other,General/Other,Mount Pleasant West,104
2066,68981572,Ontario Arts Council - Ontario Arts Council,OAC; ,167,Church-Wellesley,General/Other,General/Other,Church-Yonge Corridor,75
2067,68975333,Ontario Association for Family Mediation - Ontario Association for Family Mediation,OAFM,162,West Queen West,General/Other,General/Other,Niagara,82
2068,68957278,Ontario Association For Suicide Prevention - Ontario Association For Suicide Prevention,OASP; OCR,170,Yonge-Bay Corridor,General/Other,General/Other,Bay Street Corridor,76
2069,71899706,Ontario Association of Optometrists - Eye See...Eye Learn,,168,Ryerson,General/Other,General/Other,Church-Yonge Corridor,75
2070,71084299,Ontario Association of Social Workers - Ontario Association of Social Workers,PASW,170,Yonge-Bay Corridor,General/Other,General/Other,Bay Street Corridor,76
2071,73450441,Ontario Association of Speech-Language Pathologists and Audiologists - Ontario Association of Speech-Language Pathologists and Audiologists,OSLA,170,Yonge-Bay Corridor,General/Other,General/Other,Kensington-Chinatown,78
2072,71265881,Ontario Association of the Deaf - Ontario Association of the Deaf,OAD,41,Bridle Path-Sunnybrook-York Mills,General/Other,General/Other,Bridle Path-Sunnybrook-York Mills,41
2073,68968524,Ontario Association on Developmental Disabilities (The) - Ontario Association on Developmental Disabilities (The),OADD; The Ontario Association on Developmental Disabilities,169,Bay-Cloverhill,General/Other,General/Other,Bay Street Corridor,76
2074,67797284,Ontario Blind Sports Association - Ontario Blind Sports Association,,43,Victoria Village,General/Other,General/Other,Victoria Village,43
2075,72398665,Ontario Blue Cross - Critical Illness Insurance for Children,Blue Cross,159,Etobicoke City Centre,General/Other,General/Other,Islington-City Centre West,14
2076,71265900,Ontario Chiropractic Association - Ontario Chiropractic Association,OCA,170,Yonge-Bay Corridor,General/Other,General/Other,Bay Street Corridor,76
2077,69801262,Ontario Coalition Against Poverty - Ontario Coalition Against Poverty,Coalition Against Poverty; OCAP,73,Moss Park,General/Other,General/Other,Moss Park,73
2078,68973558,Ontario College of Family Physicians - Ontario College of Family Physicians,OCFP; OCR,78,Kensington-Chinatown,General/Other,General/Other,Kensington-Chinatown,78
2079,71083958,Ontario College of Pharmacists - Ontario College of Pharmacists,OCP,95,Annex,General/Other,General/Other,Annex,95
2080,71454761,Ontario College of Social Workers and Social Service Workers - Ontario College of Social Workers and Social Service Workers,OCSWSSW; Ordre des travailleurs sociaux et des techniciens en travail social de l'Ontario; OTSTTSO,98,Rosedale-Moore Park,General/Other,General/Other,Rosedale-Moore Park,98
2081,71588325,Ontario Community Newspapers Association - Ontario Junior Citizen Awards,OCNA,170,Yonge-Bay Corridor,General/Other,General/Other,Bay Street Corridor,76
2082,71084303,Ontario Dental Association - Ontario Dental Association,ODA,95,Annex,General/Other,General/Other,Annex,95
2083,69798705,Ontario Energy Board - Consumer Relations,OEB; COVID19 Energy Assistance Program ; CEAP ; Energy Affordability Program ; Energy Affordability Fund,100,Yonge-Eglinton,General/Other,General/Other,Yonge-Eglinton,100
2084,69754402,"Ontario Energy Board, Hamilton Services - Ontario Energy Board, Hamilton Services",Consumer Relations Centre; CV19; OEB,100,Yonge-Eglinton,General/Other,General/Other,Yonge-Eglinton,100
2085,72721152,Ontario Federation for Cerebral Palsy - Ontario Federation for Cerebral Palsy,CP,39,Bedford Park-Nortown,General/Other,General/Other,Bedford Park-Nortown,39
2086,69796229,Ontario Federation of Labour - Ontario Federation of Labour,CV19; OFL,42,Banbury-Don Mills,General/Other,General/Other,Banbury-Don Mills,42
2087,68217706,Ontario Historical Society - Ontario Historical Society,,152,Dunforest-Hollywood,General/Other,General/Other,Willowdale East,51
2088,71084064,Ontario HIV Treatment Network - Ontario HIV Treatment Network,,97,Yonge-St.Clair,General/Other,General/Other,Yonge-St.Clair,97
2089,71084181,Ontario Hospital Association - Ontario Hospital Association,OHA,164,Wellington Place,General/Other,General/Other,Waterfront Communities-The Island,77
2090,65806883,Ontario Judicial Council - Ontario Judicial Council,,11,Eringate-Centennial-West Deane,General/Other,General/Other,Eringate-Centennial-West Deane,11
2091,71096089,Ontario Long Term Care Association - Ontario Long Term Care Association,Nursing Home Associations; OLTCA,170,Yonge-Bay Corridor,General/Other,General/Other,Bay Street Corridor,76
2092,71084236,Ontario Medical Association - Ontario Medical Association,OMA,95,Annex,General/Other,General/Other,Annex,95
2093,72904861,Ontario Neurotrauma Foundation - Ontario Neurotrauma Foundation,,173,North Toronto,General/Other,General/Other,Mount Pleasant West,104
2094,69794471,Ontario Nonprofit Network - Ontario Nonprofit Network,ONN; Ontario Non-profit Network; Ontario Not-for-profit Network,98,Rosedale-Moore Park,General/Other,General/Other,Rosedale-Moore Park,98
2095,71095958,Ontario Parole Board - Victim Support,OPB,170,Yonge-Bay Corridor,General/Other,General/Other,Bay Street Corridor,76
2096,65806504,Ontario Pension Board - Client Services,,11,Eringate-Centennial-West Deane,General/Other,General/Other,Eringate-Centennial-West Deane,11
